nr,node,latitude,longitude
284,4767312,63.46201410,10.97660350
285,4767311,63.46179080,10.97566460
286,4767310,63.46168890,10.97523900
287,4767309,63.46159280,10.97483060
288,2045672,63.46114870,10.97293840
289,2045671,63.46064170,10.97078360
290,2045670,63.46050420,10.97010020
291,2045669,63.46038700,10.96884510
292,2045668,63.46023920,10.96701380
293,2045667,63.46022760,10.96685670
294,2045666,63.46019340,10.96640950
295,2045665,63.46005340,10.96460320
296,2045664,63.45990670,10.96255880
297,2045663,63.45991970,10.96158070
298,2156126,63.45890270,10.96065150
299,2156125,63.45837590,10.96017150
300,2156124,63.45765390,10.95952440
301,1340621,63.45442000,10.95653610
302,1340620,63.45604940,10.95229790
303,6587427,63.46190570,10.94593860
304,3952939,63.46383640,10.94171300
305,2687019,63.46487260,10.93995010
306,2687018,63.46580400,10.94177810
307,2687016,63.46693210,10.94340560
308,2687015,63.46748380,10.94327460
309,2687010,63.46774910,10.94314560
310,2286629,63.46800870,10.94318310
311,2286625,63.46808490,10.94330440
312,2286630,63.46823450,10.94326930
313,2286631,63.46827610,10.94318940
314,2286639,63.46853310,10.94315140
315,1693187,63.46888290,10.94338730
316,1693186,63.47047450,10.94530330
317,2070877,63.47054080,10.94510700
318,2070876,63.47056950,10.94400010
319,2070875,63.47064130,10.94243810
320,1693190,63.47089140,10.94206700
321,1693189,63.47108120,10.94280170
322,1693197,63.47144360,10.94239460
323,1693199,63.47213750,10.94176350
324,1693200,63.47145060,10.93630220
325,1786402,63.47188500,10.93591080
326,1786401,63.47245880,10.93560820
327,1786400,63.47258130,10.93555260
328,1786399,63.47361020,10.93513220
329,1786398,63.47478360,10.93464250
330,1786397,63.47701740,10.93342070
331,1786396,63.47819450,10.93184750
332,1786395,63.47878210,10.93084160
333,1786394,63.47904530,10.92984140
334,2516296,63.47919160,10.92939040
335,2516297,63.47926420,10.92930830
336,2516298,63.47930010,10.92905130
337,2516299,63.47925790,10.92888380
338,2516339,63.47926680,10.92831910
339,2516306,63.47929940,10.92790470
340,2516304,63.47767520,10.91174360
341,2516305,63.47769290,10.91114910
342,2516325,63.47772470,10.91103890
343,2528175,63.47794600,10.91067650
344,2530929,63.47829560,10.91036450
345,2070846,63.47967070,10.90897820
346,2181067,63.47977800,10.90870820
347,2181068,63.47989380,10.90839990
348,2180699,63.48014310,10.90771550
349,2055711,63.47840840,10.90230320
350,2055710,63.47849330,10.90221680
351,2055709,63.47869520,10.90199950
352,2055708,63.47912060,10.90150110
353,2055707,63.48058010,10.90119270
354,2055706,63.48230270,10.90198130
355,2180717,63.48301160,10.90176060
356,2181070,63.48346990,10.90081520
357,2181071,63.48349850,10.90075520
358,1606621,63.48328470,10.89963640
359,1693344,63.48316800,10.89887810
360,1693342,63.48294040,10.89809450
361,1693343,63.48297810,10.89731480
362,2782956,63.48277470,10.89391540
363,2782957,63.48249710,10.89328700
364,2648146,63.48230360,10.89125320
365,2169116,63.47947570,10.88979250
366,3144045,63.47852370,10.89241150
367,1504214,63.47834290,10.89253330
368,1504213,63.47761330,10.89326050
369,1504212,63.47719590,10.89367830
370,1504211,63.47641490,10.89445740
371,1504210,63.47605530,10.89482170
372,1504209,63.47403920,10.89663430
373,1693265,63.47373830,10.89686500
374,1693264,63.47401640,10.89801380
375,1693278,63.47416520,10.89855850
376,1713413,63.47450280,10.90034790
377,1693126,63.47411150,10.90064030
378,1693125,63.47337540,10.90318710
379,1693124,63.47318030,10.90369730
380,1693123,63.47231530,10.90507010
381,1693122,63.47168050,10.90571370
382,2288878,63.47144710,10.90582690
383,2288879,63.47121200,10.90603710
384,2288874,63.47125930,10.90627870
385,2288875,63.47138590,10.90634400
386,2051743,63.47158020,10.90666360
387,2051742,63.47195470,10.90752090
388,2045654,63.47330670,10.90855360
389,2051741,63.47347150,10.90944250
390,2051664,63.47367280,10.91113620
391,2045649,63.47288770,10.91176250
392,2043193,63.47272120,10.91255730
393,2051663,63.47284670,10.91302830
394,3952928,63.47261470,10.91393260
395,2024905,63.47268050,10.91444630
396,2024906,63.47270150,10.91573850
397,2024907,63.47271500,10.91706140
398,2024908,63.47272470,10.91767830
